mol,E_score1
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.9802
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.5549
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.1834
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.5154
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.2073
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.236
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.7823
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-93.851
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.62
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.0705
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.2922
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.885
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.256
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.5084
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-94.2593
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.3825
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.9438
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-95.0751
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.2391
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.7315
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.475
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.6465
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.3842
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.7116
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.507
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.499
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.408
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.401
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.077
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.139
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.848
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.967
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.815
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.444
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.276
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.299
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.897
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.624
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.966
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.824
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.307
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.331
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.361
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.14
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-110.338
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.036
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.924
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.456
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.801
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.162
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.641
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.553
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.411
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.072
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.047
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.395
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.998
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.363
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.251
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.605
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.931
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.847
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.681
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.876
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.862
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-110.814
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.349
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.504
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.662
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.442
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.441
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.68
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.155
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.143
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.897
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.531
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.174
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.228
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.441
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.815
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.03
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.421
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.385
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.636
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.414
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.64
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.832
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.625
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.705
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.34
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.98
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-106.963
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.1
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.53
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.728
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.185
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.104
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.646
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.423
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.955
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.299
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.578
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.69
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.467
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.551
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.91
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.898
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.063
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-108.438
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.187
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.245
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-107.717
Clc1cccc(Cl)c1-c1noc(C(C)C)c1COc1ccc(cc1)-c1cc2CC(Cc2cc1)C(O)=O,-109.618
