id,smi
CHEMBL466868,CCC(CC)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1
CHEMBL469135,CC(C)c1onc(-c2c(Cl)cncc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1
CHEMBL515776,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1
CHEMBL563241,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1CNc1nc2ccc(-c3cccc(C(=O)O)c3)cc2s1
CHEMBL562086,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2c(ccn2Cc2cccc(C(=O)O)c2)c1
CHEMBL191984,COC(=O)/C=C/c1cccc(N(Cc2ccc(-c3cccc(C(C)=O)c3)cc2)C(=O)C2CCCCC2)c1
CHEMBL189432,COC(=O)/C=C/c1cccc(N(Cc2ccc(-c3c(OC)cccc3OC)cc2)C(=O)NC(C)C)c1
CHEMBL3138089,C[C@H](CCNC(=O)OC1C2CC3CC(C2)CC1C3)C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O
CHEMBL190553,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3c(C)cc(C)cc3C)cc2)C(=O)C(C)C)c1
CHEMBL3824207,CC(C)n1nc(C(=O)O)cc1[C@H]1C[C@](O)(c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2Cl)C1
CHEMBL558267,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2sc(-c3cccc(C(=O)O)c3)cc2c1
CHEMBL558143,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2cc(-c3cccc(C(=O)O)c3)sc2c1
CHEMBL3824162,O=C(O)c1cccc([C@@H]2C[C@H]2c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2Cl)c1
CHEMBL3824077,O=C(O)c1cccc([C@H]2C[C@@H]2c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2Cl)c1
CHEMBL3822901,O=C(O)c1cccc([C@H]2C[C@](O)(c3ccc(OCc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)cc3Cl)C2)c1
CHEMBL3824337,Cn1nc(C(=O)O)c2ccc(C3CC3c3ccc(OCc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)cc3Cl)cc21
CHEMBL453098,CCOC(=O)C1=CN(C(=O)c2ccc(Cl)cc2)CC(C)c2c1[nH]c1ccccc21
CHEMBL453912,CCOC(=O)C1=CN(C(=O)c2ccc(F)c(F)c2)CC(C)c2c1[nH]c1ccccc21
CHEMBL454137,CC(C)OC(=O)C1=CN(C(=O)c2ccc(F)cc2)CC(C)(C)c2c1[nH]c1ccccc21
CHEMBL4077083,COc1ccc(-c2nc3ccc(C)cn3c2NCc2ccccc2)cc1OC
CHEMBL4083776,COc1cccc(-c2nc3ccc(C)cn3c2NCc2ccccc2)c1
CHEMBL4105108,Cc1ccc2nc(-c3ccc(-c4ccccc4)cc3)c(NCc3ccccc3)n2c1
CHEMBL602288,CC(C)OC(=O)C1=CN(C(=O)c2cccc(OCCN3CCCCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21
CHEMBL602061,CC(C)OC(=O)C1=CN(C(=O)c2cccc(OCCCN3CCOCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21
CHEMBL600415,CC(C)OC(=O)C1=CN(C(=O)c2ccc(OCCN3CCCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21
CHEMBL4097715,Cc1ccc(C(=O)NCc2ccc(C(=O)O)cc2)cc1C
CHEMBL4100178,CCOc1ccc(CNC(=O)c2ccc(C(C)(C)C)cc2)cc1
CHEMBL4092436,CC(C)(C)c1ccc(C(=O)NCc2ccc(OC(F)(F)F)cc2)cc1
CHEMBL4064739,CSc1ccc(CNC(=O)c2ccc(C(C)(C)C)cc2)cc1
CHEMBL3335646,CC(C)(C)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2cccc(C#N)c2)cc1
CHEMBL466867,O=C(O)c1cccc(/C=C/c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CCCC3)cc2Cl)c1
CHEMBL468734,CC(C)c1onc(CSc2nnnn2C)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1
CHEMBL513475,CC(C)c1onc(COC(C)(C)C)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1
CHEMBL571482,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC/C(=N\OC(=O)CC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
CHEMBL583203,CC(CO)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
CHEMBL571294,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)C(C)C)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
CHEMBL583640,C=C(C)[C@@H]1CC[C@]2(C(=O)NC3CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
